,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-01-01,320.434998,320.434998,314.002991,314.248993,314.248993,8036550
1,2015-01-02,314.07901,315.838989,313.565002,315.032013,315.032013,7860650
2,2015-01-03,314.846008,315.149994,281.082001,281.082001,281.082001,33054400
3,2015-01-04,281.145996,287.230011,257.612,264.195007,264.195007,55629100
4,2015-01-05,265.084015,278.341003,265.084015,274.473999,274.473999,43962800
5,2015-01-06,274.610992,287.553009,272.696014,286.188995,286.188995,23245700
6,2015-01-07,286.076996,298.753998,283.07901,294.337006,294.337006,24866800
7,2015-01-08,294.13501,294.13501,282.174988,283.348999,283.348999,19982500
8,2015-01-09,282.382996,291.114014,280.53299,290.40799,290.40799,18718600
9,2015-01-10,287.303009,288.127014,273.966003,274.79599,274.79599,15264300
10,2015-01-11,274.608002,279.638,265.039001,265.660004,265.660004,18200800
11,2015-01-12,266.145996,272.203003,265.200012,267.79599,267.79599,18880300
12,2015-01-13,267.394012,268.277008,219.906006,225.860992,225.860992,72843904
13,2015-01-14,223.893997,223.893997,171.509995,178.102997,178.102997,97638704
14,2015-01-15,176.897003,229.067001,176.897003,209.843994,209.843994,81773504
15,2015-01-16,209.070007,221.591003,199.770996,208.097,208.097,38421000
16,2015-01-17,207.834,211.731003,194.875,199.259995,199.259995,23469700
17,2015-01-18,200.050003,218.695007,194.505997,210.339005,210.339005,30085100
18,2015-01-19,211.470993,216.727997,207.317993,214.860992,214.860992,18658300
19,2015-01-20,212.906998,215.240997,205.153,211.315002,211.315002,24051100
20,2015-01-21,211.378006,227.787994,211.212006,226.897003,226.897003,29924600
21,2015-01-22,227.322006,237.018997,226.434006,233.406006,233.406006,33544600
22,2015-01-23,233.516998,234.845001,225.195999,232.878998,232.878998,24621700
23,2015-01-24,232.699997,248.210007,230.022003,247.847,247.847,24782500
24,2015-01-25,247.352005,255.074005,243.889999,253.718002,253.718002,33582700
25,2015-01-26,254.078995,309.384003,254.078995,273.472992,273.472992,106794000
26,2015-01-27,273.166992,275.480011,250.653,263.475006,263.475006,44399000
